year,abbr,state,electoral_votes
1964,WI,Wisconsin,12
1968,WI,Wisconsin,12
1972,WI,Wisconsin,11
1976,WI,Wisconsin,11
1980,WI,Wisconsin,11
1984,WI,Wisconsin,11
1988,WI,Wisconsin,11
1992,WI,Wisconsin,11
1996,WI,Wisconsin,11
2000,WI,Wisconsin,11
2004,WI,Wisconsin,10
2008,WI,Wisconsin,10
2012,WI,Wisconsin,10
2016,WI,Wisconsin,10
2020,WI,Wisconsin,10
2024,WI,Wisconsin,10
1788,WV,West Virginia,
1792,WV,West Virginia,
1796,WV,West Virginia,
1800,WV,West Virginia,
1804,WV,West Virginia,
1808,WV,West Virginia,
1812,WV,West Virginia,
1816,WV,West Virginia,
1820,WV,West Virginia,
1824,WV,West Virginia,
1828,WV,West Virginia,
1832,WV,West Virginia,
1836,WV,West Virginia,
1840,WV,West Virginia,
1844,WV,West Virginia,
1848,WV,West Virginia,
1852,WV,West Virginia,
1856,WV,West Virginia,
1860,WV,West Virginia,
1864,WV,West Virginia,5
1868,WV,West Virginia,5
1872,WV,West Virginia,5
1876,WV,West Virginia,5
1880,WV,West Virginia,5
1884,WV,West Virginia,6
1888,WV,West Virginia,6
1892,WV,West Virginia,6
1896,WV,West Virginia,6
1900,WV,West Virginia,6
1904,WV,West Virginia,7
1908,WV,West Virginia,7
1912,WV,West Virginia,8
1916,WV,West Virginia,8
1920,WV,West Virginia,8
1924,WV,West Virginia,8
1928,WV,West Virginia,8
1932,WV,West Virginia,8
1936,WV,West Virginia,8
1940,WV,West Virginia,8
1944,WV,West Virginia,8
1948,WV,West Virginia,8
1952,WV,West Virginia,8
1956,WV,West Virginia,8
1960,WV,West Virginia,8
1964,WV,West Virginia,7
1968,WV,West Virginia,7
1972,WV,West Virginia,6
1976,WV,West Virginia,6
1980,WV,West Virginia,6
1984,WV,West Virginia,6
1988,WV,West Virginia,6
1992,WV,West Virginia,5
1996,WV,West Virginia,5
2000,WV,West Virginia,5
2004,WV,West Virginia,5
2008,WV,West Virginia,5
2012,WV,West Virginia,5
2016,WV,West Virginia,5
2020,WV,West Virginia,5
2024,WV,West Virginia,4
1788,WY,Wyoming,
1792,WY,Wyoming,
1796,WY,Wyoming,
1800,WY,Wyoming,
1804,WY,Wyoming,
1808,WY,Wyoming,
1812,WY,Wyoming,
1816,WY,Wyoming,
1820,WY,Wyoming,
1824,WY,Wyoming,
1828,WY,Wyoming,
1832,WY,Wyoming,
1836,WY,Wyoming,
1840,WY,Wyoming,
1844,WY,Wyoming,
1848,WY,Wyoming,
1852,WY,Wyoming,
1856,WY,Wyoming,
1860,WY,Wyoming,
1864,WY,Wyoming,
1868,WY,Wyoming,
1872,WY,Wyoming,
1876,WY,Wyoming,
1880,WY,Wyoming,
1884,WY,Wyoming,
1888,WY,Wyoming,
1892,WY,Wyoming,3
1896,WY,Wyoming,3
1900,WY,Wyoming,3
1904,WY,Wyoming,3
1908,WY,Wyoming,3
1912,WY,Wyoming,3
1916,WY,Wyoming,3
1920,WY,Wyoming,3
1924,WY,Wyoming,3
1928,WY,Wyoming,3
1932,WY,Wyoming,3
1936,WY,Wyoming,3
1940,WY,Wyoming,3
1944,WY,Wyoming,3
1948,WY,Wyoming,3
1952,WY,Wyoming,3
1956,WY,Wyoming,3
1960,WY,Wyoming,3
1964,WY,Wyoming,3
1968,WY,Wyoming,3
1972,WY,Wyoming,3
1976,WY,Wyoming,3
1980,WY,Wyoming,3
1984,WY,Wyoming,3
1988,WY,Wyoming,3
1992,WY,Wyoming,3
1996,WY,Wyoming,3
2000,WY,Wyoming,3
2004,WY,Wyoming,3
2008,WY,Wyoming,3
2012,WY,Wyoming,3
2016,WY,Wyoming,3
2020,WY,Wyoming,3
2024,WY,Wyoming,3
