year,abbr,D_votes,R_votes,pres_margin,pres_margin_str,electoral_votes,relative_margin,relative_margin_str,relative_margin_delta,relative_margin_delta_str,national_margin,national_margin_str,national_margin_delta,national_margin_delta_str,pres_margin_delta,pres_margin_delta_str
1984,AL,551899,872849,-0.22526790702636537,R+22.5,9,-0.04280088318587141,R+4.3,-0.13242529243352855,R+13.2,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.21174114088557608,R+21.2
1988,AL,549506,815576,-0.19491136796177813,R+19.5,9,-0.11826226218443157,R+11.8,-0.07546137899856016,R+7.5,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.03035653906458724,D+3.0
1992,AL,690080,804283,-0.07642252919805964,R+7.6,9,-0.14883320496756786,R+14.9,-0.030570942783136282,R+3.1,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.11848883876371849,D+11.8
1996,AL,662165,769044,-0.07467742307377888,R+7.5,9,-0.17075790359078297,R+17.1,-0.02192469862321511,R+2.2,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,0.0017451061242807625,D+0.2
2000,AL,692611,941173,-0.15213883842662188,R+15.2,9,-0.1572722967961024,R+15.7,0.013485606794680555,D+1.3,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.077461415352843,R+7.7
2004,AL,693933,1176394,-0.25795542704564495,R+25.8,9,-0.2332951269220974,R+23.3,-0.07602283012599498,R+7.6,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.10581658861902307,R+10.6
2008,AL,813479,1266546,-0.21781805507145346,R+21.8,9,-0.2932334006430589,R+29.3,-0.05993827372096153,R+6.0,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.04013737197419148,D+4.0
2012,AL,795696,1255925,-0.2243245706687541,R+22.4,9,-0.2645137729343434,R+26.5,0.0287196277087155,D+2.9,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.006506515597300644,R+0.7
2016,AL,729547,1318255,-0.2874828718792149,R+28.7,9,-0.310716903959672,R+31.1,-0.04620313102532858,R+4.6,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.06315830121046079,R+6.3
2020,AL,849624,1441170,-0.2582274966670945,R+25.8,9,-0.30358723908966845,R+30.4,0.007129664870003549,D+0.7,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.029255375212120405,D+2.9
2024,AL,772412,1462616,-0.3088122385938789,R+30.9,9,-0.2938155471596788,R+29.4,0.009771691929989668,D+1.0,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.050584741926784416,R+5.1
1976,AR,498604,267903,0.3009770295639831,D+30.1,6,0.2782301197164762,D+27.8,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,AR,398041,403164,-0.006394118858469431,R+0.6,6,0.096757056529977,D+9.7,-0.1814730631864992,R+18.1,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.3073711484224525,R+30.7
1984,AR,338646,534774,-0.22455176203888164,R+22.5,6,-0.04208473819838768,R+4.2,-0.13884179472836466,R+13.9,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.2181576431804122,R+21.8
1988,AR,349237,466578,-0.1438328542623021,R+14.4,6,-0.06718374848495555,R+6.7,-0.02509901028656787,R+2.5,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.08071890777657953,D+8.1
1992,AR,505823,337324,0.1998453413224503,D+20.0,6,0.12743466555294208,D+12.7,0.19461841403789765,D+19.5,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.34367819558475243,D+34.4
1996,AR,475171,325416,0.1870564972951097,D+18.7,6,0.09097601677810563,D+9.1,-0.036458648774836455,R+3.6,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,-0.012788844027340596,R+1.3
2000,AR,422768,472940,-0.05601379020841613,R+5.6,6,-0.06114724857789668,R+6.1,-0.15212326535600232,R+15.2,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.24307028750352583,R+24.3
2004,AR,469953,572898,-0.09871496503335568,R+9.9,6,-0.07405466490980812,R+7.4,-0.01290741633191144,R+1.3,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.04270117482493955,R+4.3
2008,AR,422310,638017,-0.2034344122143452,R+20.3,6,-0.27884975778595067,R+27.9,-0.20479509287614256,R+20.5,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,-0.10471944718098951,R+10.5
2012,AR,394409,647744,-0.24308810702459235,R+24.3,6,-0.2832773092901817,R+28.3,-0.00442755150423102,R+0.4,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.039653694810247164,R+4.0
2016,AR,380494,684872,-0.28570275379540927,R+28.6,6,-0.30893678587586637,R+30.9,-0.025659476585684682,R+2.6,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.042614646770816916,R+4.3
2020,AR,423932,760647,-0.284248665559663,R+28.4,6,-0.32960840798223695,R+33.0,-0.02067162210637058,R+2.1,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.0014540882357462759,D+0.1
2024,AR,396905,759241,-0.3133998647229675,R+31.3,6,-0.29840317328876736,R+29.8,0.031205234693469586,D+3.1,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.029151199163304498,R+2.9
1976,AZ,295602,418642,-0.17226606033792374,R+17.2,6,-0.19501297018543062,R+19.5,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,AZ,246843,529688,-0.3642417366467018,R+36.4,6,-0.26109056125825536,R+26.1,-0.06607759107282474,R+6.6,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.19197567630877804,R+19.2
1984,AZ,333854,681416,-0.34233455140012015,R+34.2,7,-0.1598675275596262,R+16.0,0.10122303369862917,D+10.1,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,0.02190718524658164,D+2.2
1988,AZ,454029,702541,-0.21486983061985007,R+21.5,7,-0.13822072484250353,R+13.8,0.02164680271712266,D+2.2,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.12746472078027007,D+12.7
1992,AZ,543050,572086,-0.02603807966023875,R+2.6,8,-0.09844875542974696,R+9.8,0.03977196941275657,D+4.0,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.18883175095961133,D+18.9
1996,AZ,653288,622073,0.024475423037085185,D+2.4,8,-0.07160505747991888,R+7.2,0.026843697949828077,D+2.7,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,0.050513502697323936,D+5.1
2000,AZ,685341,781652,-0.06565198334279713,R+6.6,8,-0.07078544171227769,R+7.1,0.0008196157676411964,D+0.1,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.09012740637988231,R+9.0
2004,AZ,893524,1104294,-0.10550010060976525,R+10.6,10,-0.0808398004862177,R+8.1,-0.010054358773940009,R+1.0,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.03984811726696812,R+4.0
2008,AZ,1034707,1230111,-0.08627801439232645,R+8.6,10,-0.16169335996393192,R+16.2,-0.08085355947771422,R+8.1,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.019222086217438802,D+1.9
2012,AZ,1025232,1233654,-0.09226760447406376,R+9.2,11,-0.13245680673965307,R+13.2,0.029236553224278844,D+2.9,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.005989590081737314,R+0.6
2016,AZ,1161167,1252401,-0.03780046802078914,R+3.8,11,-0.06103450010124624,R+6.1,0.07142230663840683,D+7.1,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,0.054467136453274625,D+5.4
2020,AZ,1672143,1661686,0.0031366335825862694,D+0.3,11,-0.04222310883998767,R+4.2,0.018811391261258567,D+1.9,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.04093710160337541,D+4.1
2024,AZ,1582860,1770242,-0.055883179217333684,R+5.6,11,-0.04088648778313353,R+4.1,0.0013366210568541426,D+0.1,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.059019812799919955,R+5.9
1976,CA,3742284,3882244,-0.018356546136364112,R+1.8,45,-0.04110345598387101,R+4.1,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,CA,3082943,4522994,-0.1893324911841894,R+18.9,45,-0.08618131579574298,R+8.6,-0.04507785981187197,R+4.5,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.1709759450478253,R+17.1
1984,CA,3922519,5467009,-0.1644906964439533,R+16.4,47,0.017976327396540648,D+1.8,0.10415764319228363,D+10.4,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,0.024841794740236095,D+2.5
1988,CA,4702233,5054917,-0.036146210727517766,R+3.6,47,0.04050289504982879,D+4.1,0.022526567653288143,D+2.3,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.12834448571643553,D+12.8
1992,CA,5121325,3630574,0.1703345753875816,D+17.0,54,0.09792389961807339,D+9.8,0.0574210045682446,D+5.7,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.20648078611509935,D+20.6
1996,CA,5119835,3828381,0.14432530461937887,D+14.4,54,0.048244824102374795,D+4.8,-0.0496790755156986,R+5.0,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,-0.026009270768202725,R+2.6
2000,CA,5861203,4567429,0.12405979998143572,D+12.4,54,0.11892634161195517,D+11.9,0.07068151750958038,D+7.1,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.020265504637943146,R+2.0
2004,CA,6745485,5509826,0.10082640905644907,D+10.1,55,0.12548670917999663,D+12.5,0.006560367568041459,D+0.7,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.02323339092498665,R+2.3
2008,CA,8274473,5011781,0.24556899183170816,D+24.6,55,0.1701536462601027,D+17.0,0.04466693708010608,D+4.5,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.1447425827752591,D+14.5
2012,CA,7854285,4839958,0.23745622326593244,D+23.7,55,0.19726702100034313,D+19.7,0.02711337474024042,D+2.7,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.008112768565775724,R+0.8
2016,CA,8753788,4483810,0.32256441085459764,D+32.3,55,0.29933037877414054,D+29.9,0.10206335777379741,D+10.2,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,0.0851081875886652,D+8.5
2020,CA,11110250,6006429,0.29817822721335135,D+29.8,55,0.2528184847907774,D+25.3,-0.04651189398336314,R+4.7,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,-0.024386183641246284,R+2.4
2024,CA,9276179,6081697,0.2080028514359668,D+20.8,54,0.22299954287016696,D+22.3,-0.029818941920610437,R+3.0,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.09017537577738455,R+9.0
1976,CO,460801,584278,-0.11815087663229287,R+11.8,7,-0.14089778647979978,R+14.1,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,CO,368009,652264,-0.2786068042572919,R+27.9,7,-0.17545562886884547,R+17.5,-0.03455784238904569,R+3.5,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.16045592762499902,R+16.0
1984,CO,454975,821817,-0.287315396713012,R+28.7,8,-0.10484837287251803,R+10.5,0.07060725599632744,D+7.1,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.008708592455720088,R+0.9
1988,CO,621453,728177,-0.07907648762994302,R+7.9,8,-0.002427381852596458,R+0.2,0.10242099101992157,D+10.2,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.20823890908306897,D+20.8
1992,CO,629681,562850,0.05604131045649966,D+5.6,8,-0.01636936531300854,R+1.6,-0.013941983460412082,R+1.4,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.13511779808644267,D+13.5
1996,CO,671152,691848,-0.015184152604548789,R+1.5,8,-0.11126463312155287,R+11.1,-0.09489526780854432,R+9.5,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,-0.07122546306104845,R+7.1
2000,CO,738227,883748,-0.08971839886558054,R+9.0,8,-0.0948518572350611,R+9.5,0.016412775886491773,D+1.6,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.07453424626103175,R+7.5
2004,CO,1001732,1101255,-0.04732459116485266,R+4.7,9,-0.022664291041305105,R+2.3,0.07218756619375599,D+7.2,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,0.042393807700727884,D+4.2
2008,CO,1288576,1073589,0.09101269386346847,D+9.1,9,0.015597348291863017,D+1.6,0.03826163933316812,D+3.8,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.13833728502832113,D+13.8
2012,CO,1323101,1185243,0.05495976628405035,D+5.5,9,0.014770564018461038,D+1.5,-0.0008267842734019787,R+0.1,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.036052927579418116,R+3.6
2016,CO,1338870,1202484,0.053666667453648724,D+5.4,9,0.030432635373191626,D+3.0,0.01566207135473059,D+1.6,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.0012930988304016289,R+0.1
2020,CO,1804352,1364607,0.13876638984600306,D+13.9,9,0.09340664742342912,D+9.3,0.06297401205023749,D+6.3,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.08509972239235433,D+8.5
2024,CO,1728159,1377441,0.11293083462132922,D+11.3,10,0.12792752605552937,D+12.8,0.03452087863210025,D+3.5,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.025835555224673845,R+2.6
1976,CT,647895,719261,-0.05220033412426965,R+5.2,8,-0.07494724397177654,R+7.5,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,CT,541732,677210,-0.11114392645425294,R+11.1,8,-0.00799275106580652,R+0.8,0.06695449290597003,D+6.7,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.058943592329983294,R+5.9
1984,CT,569597,890877,-0.2199833752603607,R+22.0,8,-0.03751635141986673,R+3.8,-0.02952360035406021,R+3.0,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.10883944880610774,R+10.9
1988,CT,676584,750241,-0.05162300912865979,R+5.2,8,0.02502609664868677,D+2.5,0.0625424480685535,D+6.3,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.1683603661317009,D+16.8
1992,CT,682318,578313,0.08250233414853356,D+8.3,8,0.010091658379025356,D+1.0,-0.014934438269661413,R+1.5,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.13412534327719333,D+13.4
1996,CT,735740,483109,0.2072701376462548,D+20.7,8,0.11118965712925072,D+11.1,0.10109799875022536,D+10.1,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,0.12476780349772124,D+12.5
2000,CT,816015,561094,0.1851131609770904,D+18.5,8,0.17997970260760987,D+18.0,0.06879004547835915,D+6.9,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.022156976669164385,R+2.2
2004,CT,857488,693826,0.10549895121168248,D+10.5,7,0.13015925133523004,D+13.0,-0.04982045127237983,R+5.0,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.07961420976540792,R+8.0
2008,CT,997772,629428,0.22636676499508357,D+22.6,7,0.15095141942347812,D+15.1,0.020792168088248075,D+2.1,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.12086781378340108,D+12.1
2012,CT,905083,634892,0.17545154953814185,D+17.5,7,0.13526234727255254,D+13.5,-0.015689072150925576,R+1.6,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.05091521545694172,R+5.1
2016,CT,897572,673215,0.1428309503452728,D+14.3,7,0.1195969182648157,D+12.0,-0.015665429007736847,R+1.6,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.032620599192869054,R+3.3
2020,CT,1080831,714717,0.2039009817615569,D+20.4,7,0.15854123933898295,D+15.9,0.03894432107416726,D+3.9,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.061070031416284115,D+6.1
2024,CT,992053,736918,0.14756464972518335,D+14.8,7,0.1625613411593835,D+16.3,0.004020101820400551,D+0.4,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.05633633203637356,R+5.6
1976,DC,137818,27873,0.6635544477370527,D+66.4,3,0.6408075378895458,D+64.1,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,DC,130231,23313,0.6963346011566717,D+69.6,3,0.7994857765451181,D+79.9,0.1586782386555723,D+15.9,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,0.03278015341961893,D+3.3
1984,DC,180408,29009,0.7229546789420153,D+72.3,3,0.9054217027825092,D+90.5,0.10593592623739112,D+10.6,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,0.026620077785343588,D+2.7
1988,DC,159407,27590,0.7049150521131355,D+70.5,3,0.7815641578904821,D+78.2,-0.12385754489202716,R+12.4,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,-0.018039626828879718,R+1.8
1992,DC,192619,20698,0.8059413923878547,D+80.6,3,0.7335307166183465,D+73.4,-0.0480334412721356,R+4.8,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.10102634027471913,D+10.1
1996,DC,158220,17339,0.8024709641772851,D+80.2,3,0.706390483660281,D+70.6,-0.027140232958065447,R+2.7,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,-0.0034704282105695317,R+0.3
2000,DC,171923,18073,0.8097538895555696,D+81.0,3,0.8046204311860891,D+80.5,0.09822994752580805,D+9.8,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,0.007282925378284455,D+0.7
2004,DC,202970,21256,0.8104055729487214,D+81.0,3,0.835065873072269,D+83.5,0.030445441886179925,D+3.0,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,0.0006516833931518029,D+0.1
2008,DC,245800,17367,0.8680153666683132,D+86.8,3,0.7926000210967078,D+79.3,-0.042465851975561186,R+4.2,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.05760979371959185,D+5.8
2012,DC,267070,21381,0.8517529840423503,D+85.2,3,0.811563781776761,D+81.2,0.018963760680053232,D+1.9,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.016262382625962912,R+1.6
2016,DC,282830,12723,0.9139037668370816,D+91.4,3,0.8906697347566246,D+89.1,0.07910595297986356,D+7.9,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,0.062150782794731296,D+6.2
2020,DC,317323,18586,0.8893390769523889,D+88.9,3,0.843979334529815,D+84.4,-0.04669040022680959,R+4.7,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,-0.024564689884692736,R+2.5
2024,DC,294185,21076,0.8662949112005608,D+86.6,3,0.8812916026347609,D+88.1,0.03731226810494592,D+3.7,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.023044165751828105,R+2.3
1976,DE,122461,109780,0.05460276178624791,D+5.5,3,0.03185585193874101,D+3.2,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,DE,105754,111252,-0.02533570500354829,R+2.5,3,0.07781547038489814,D+7.8,0.045959618446157126,D+4.6,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.0799384667897962,R+8.0
1984,DE,101656,152190,-0.19907345398391152,R+19.9,3,-0.01660643014341756,R+1.7,-0.0944219005283157,R+9.4,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.17373774898036323,R+17.4
1988,DE,108647,139639,-0.1248237919173856,R+12.5,3,-0.048174686140039044,R+4.8,-0.03156825599662148,R+3.2,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.07424966206652592,D+7.4
1992,DE,126054,102313,0.10395985409450577,D+10.4,3,0.03154917832499757,D+3.2,0.07972386446503661,D+8.0,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.22878364601189138,D+22.9
1996,DE,140355,99062,0.17247313265139902,D+17.2,3,0.07639265213439494,D+7.6,0.04484347380939738,D+4.5,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,0.06851327855689325,D+6.9
2000,DE,180068,137288,0.1348012957057689,D+13.5,3,0.12966783733628837,D+13.0,0.05327518520189342,D+5.3,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.037671836945630116,R+3.8
2004,DE,200152,171660,0.0766301249018321,D+7.7,3,0.10129042502537966,D+10.1,-0.028377412310908706,R+2.8,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.0581711708039368,R+5.8
2008,DE,255459,152374,0.25276277299777117,D+25.3,3,0.17734742742616572,D+17.7,0.07605700240078606,D+7.6,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.17613264809593907,D+17.6
2012,DE,242584,165484,0.1889390983855632,D+18.9,3,0.14874989611997388,D+14.9,-0.02859753130619183,R+2.9,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.06382367461220798,R+6.4
2016,DE,235603,185127,0.11997242887362441,D+12.0,3,0.09673839679316731,D+9.7,-0.05201149932680657,R+5.2,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.06896666951193878,R+6.9
2020,DE,296268,200603,0.19253488329968946,D+19.3,3,0.14717514087711553,D+14.7,0.050436744083948215,D+5.0,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.07256245442606504,D+7.3
2024,DE,289758,214351,0.14958471282996336,D+15.0,3,0.1645814042641635,D+16.5,0.017406263387047982,D+1.7,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.0429501704697261,R+4.3
1976,FL,1636000,1469531,0.05360403744158406,D+5.4,17,0.030857127594077167,D+3.1,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,FL,1419475,2046951,-0.18101525894393822,R+18.1,17,-0.07786408355549179,R+7.8,-0.10872121114956895,R+10.9,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.23461929638552229,R+23.5
1984,FL,1448816,2730350,-0.3066482642709096,R+30.7,21,-0.12418124043041562,R+12.4,-0.046317156874923826,R+4.6,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.12563300532697136,R+12.6
1988,FL,1656701,2618885,-0.22504143291703171,R+22.5,21,-0.14839232713968514,R+14.8,-0.024211086709269525,R+2.4,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.08160683135387786,D+8.2
1992,FL,2071698,2173310,-0.02393682179161971,R+2.4,25,-0.09634749756112791,R+9.6,0.05204482957855723,D+5.2,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.201104611125412,D+20.1
1996,FL,2546870,2244536,0.0630992239021281,D+6.3,25,-0.03298125661487597,R+3.3,0.06336624094625194,D+6.3,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,0.08703604569374782,D+8.7
2000,FL,2912253,2912790,-9.218816067108861e-05,R+0.0,25,-0.0052256465301516375,R+0.5,0.02775561008472433,D+2.8,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.0631914120627992,R+6.3
2004,FL,3583544,3964522,-0.05047359151337574,R+5.0,27,-0.02581329138982819,R+2.6,-0.02058764485967655,R+2.1,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.050381403352704655,R+5.0
2008,FL,4282074,4045624,0.028393200617985906,D+2.8,27,-0.047022144953619546,R+4.7,-0.021208853563791357,R+2.1,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.07886679213136165,D+7.9
2012,FL,4237756,4163447,0.008845042787324625,D+0.9,29,-0.03134415947826469,R+3.1,0.015677985475354858,D+1.6,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.01954815783066128,R+2.0
2016,FL,4504975,4617886,-0.012376709455509626,R+1.2,29,-0.035610741535966724,R+3.6,-0.0042665820577020355,R+0.4,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.02122175224283425,R+2.1
2020,FL,5297045,5668731,-0.03389509324283115,R+3.4,29,-0.07925483566540509,R+7.9,-0.043644094129438364,R+4.4,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,-0.021518383787321526,R+2.2
2024,FL,4683038,6110125,-0.1322213886698459,R+13.2,30,-0.11722469723564574,R+11.7,-0.037969861570240654,R+3.8,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.09832629542701474,R+9.8
1976,GA,979409,483743,0.33876589718634836,D+33.9,12,0.3160189873388415,D+31.6,0,0,0.022746909847506894,D+2.3,0,0,0,0
